Index,PDSI,Acres,LargeFire=1
0,6.24,203.6,1
1,6.24,2000.4,1
2,0.85,120,1
3,6.49,133.6,1
4,6.49,202.4,1
5,-0.52,800,1
6,-0.84,505.8,1
7,-0.84,107.1,1
8,-0.84,1316.4,1
9,7.45,4668.1,1
10,7.45,480.1,1
11,7.45,395.7,1
12,7.45,122,1
13,-0.84,113.2,1
14,-0.84,204.3,1
15,7.45,560.2,1
16,7.45,127.3,1
17,7.45,477.5,1
18,-0.51,257.4,1
19,-0.51,3000,1
20,7.45,602,1
21,7.45,160.1,1
22,-0.42,363.5,1
23,-0.51,7100,1
24,-0.51,1597.2,1
25,-0.51,151.2,1
26,7.45,230.1,1
27,-0.51,2233.3,1
28,-0.51,346.9,1
29,-0.51,661,1
30,-0.51,299.4,1
31,-0.51,117.5,1
32,-0.51,714.2,1
33,-0.51,147.5,1
34,-0.51,143.7,1
35,2.44,157.3,1
36,-0.74,823.2,1
37,7.91,1610.3,1
38,-0.74,241,1
39,-0.74,188.2,1
40,7.91,1110.7,1
41,7.91,440.1,1
42,-0.74,516.1,1
43,-0.14,2846.5,1
44,7.91,360.2,1
45,-0.14,16803.1,1
46,-0.14,406.1,1
47,-0.14,119.4,1
48,-0.14,931.1,1
49,-0.14,4163.9,1
50,-0.14,2086.2,1
51,-0.29,318.1,1
52,-0.29,3141,1
53,-0.14,347,1
54,-0.14,218.7,1
55,-0.29,178.8,1
56,-0.14,5576.4,1
57,-0.14,140,1
58,-0.14,2209.3,1
59,-0.14,797.4,1
60,-0.14,2170.1,1
61,-0.29,245.5,1
62,-0.14,407.2,1
63,-0.14,147.1,1
64,-0.14,117.5,1
65,-0.14,676.7,1
66,-0.14,182.6,1
67,3.09,115.2,1
68,3.09,135.2,1
69,0.47,291.1,1
70,-0.9,3659.7,1
71,-0.9,172.7,1
72,-0.18,477,1
73,-0.9,535.7,1
74,-0.18,517.5,1
75,-0.18,3353.6,1
76,-0.07,256.9,1
77,-0.07,130,1
78,-0.07,1631,1
79,-0.07,582.7,1
80,-0.39,162.8,1
81,-0.07,121,1
82,-0.07,191.5,1
83,-0.07,286.8,1
84,-0.39,370.2,1
85,-0.07,158.5,1
86,-0.07,117.7,1
87,-0.07,203.9,1
88,-0.39,225.3,1
89,-0.07,131.5,1
90,-0.07,464.2,1
91,-0.07,1323,1
92,-0.39,160,1
93,-0.39,552.9,1
94,-0.07,266,1
95,-0.07,295.1,1
96,-0.07,146.2,1
97,-0.07,219.9,1
98,3.2,128.1,1
99,3.64,257.2,1
100,3.64,217.1,1
101,3.64,290.1,1
102,3.64,124,1
103,3.64,800.3,1
104,-1,760.3,1
105,-1,137.9,1
106,-1,819.5,1
107,-1,158.7,1
108,-0.49,172.4,1
109,-0.04,235.3,1
110,-0.49,26371.3,1
111,-0.49,149.4,1
112,-0.04,500,1
113,-0.04,260,1
114,-0.04,2350,1
115,-0.04,161.7,1
116,-0.49,105.6,1
117,-0.49,230,1
118,-0.04,116.2,1
119,-0.04,1076.9,1
120,-0.44,6015.1,1
121,-0.44,642,1
122,-0.04,259.7,1
123,-0.04,372,1
124,-0.04,119,1
125,-0.04,277.3,1
126,-0.44,300.2,1
127,-0.44,418.6,1
128,-0.04,191.8,1
129,-0.04,227.4,1
130,-0.44,152,1
131,-0.04,269.5,1
132,0.59,408.4,1
133,3.44,164.8,1
134,3.95,115.3,1
135,3.95,146.7,1
136,3.95,171.9,1
137,3.95,135.5,1
138,3.95,833,1
139,-1.19,349,1
140,-1.19,1154.2,1
141,-1.19,769.8,1
142,-1.19,265.3,1
143,-1.19,535.2,1
144,-1.19,43201,1
145,-0.92,125.8,1
146,-0.92,297.4,1
147,-0.39,225.1,1
148,-0.39,875,1
149,-0.67,151.2,1
150,-0.67,156.5,1
151,-0.39,210.3,1
152,-0.39,127.1,1
153,-0.67,119.2,1
154,-0.39,228.8,1
155,-0.39,113.3,1
156,-0.39,134.2,1
157,-0.39,157.1,1
158,-0.39,202.4,1
159,-0.67,160.1,1
160,-0.39,170,1
161,-0.27,556.5,1
162,-0.27,135.8,1
163,-0.27,133.1,1
164,-0.27,698.8,1
165,-0.27,505,1
166,-1.4,351.3,1
167,-1.4,20849.3,1
168,-1.4,21386.9,1
169,-1.4,27959.5,1
170,-1.4,38152,1
171,-1.4,5701.7,1
172,-1.4,3621.9,1
173,-1.4,4708.5,1
174,-1.4,1651.1,1
175,-1.14,139.1,1
176,-0.65,163.8,1
177,-1.07,165,1
178,-0.86,825.3,1
179,-0.31,155,1
